Y;solde;csp;transactions;connexions;virement;penibilites;note
0.05;1757.98;5.00;5.00;23.00;8.00;0.03;0.00
0.08;1723.98;5.00;39.00;49.00;7.00;0.23;0.00
0.25;620.15;4.00;49.00;33.00;1.00;0.79;4.00
0.35;1727.98;5.00;35.00;23.00;10.00;0.20;0.00
0.11;235.59;3.00;3.00;49.00;9.00;0.13;3.00
0.13;229.59;3.00;9.00;3.00;1.00;0.39;3.00
0.08;77.92;2.00;2.00;46.00;9.00;0.26;2.00
0.05;65.92;2.00;14.00;21.00;9.00;2.12;2.00
0.08;198.59;3.00;40.00;29.00;1.00;2.01;3.00
0.28;1.00;1.00;49.00;10.00;1.00;490.00;1.00
0.05;36.92;2.00;43.00;21.00;7.00;11.65;2.00
0.15;21.15;1.00;4.00;21.00;10.00;1.89;1.00
0.10;1740.98;5.00;22.00;22.00;9.00;0.13;0.00
0.13;1734.98;5.00;28.00;30.00;3.00;0.16;0.00
0.09;1717.98;5.00;45.00;32.00;9.00;0.26;0.00
0.13;206.59;3.00;32.00;0.00;7.00;1.55;3.00
0.08;23.15;1.00;2.00;49.00;8.00;0.86;1.00
0.05;23.15;1.00;2.00;16.00;2.00;0.86;1.00
0.13;635.15;4.00;34.00;43.00;7.00;0.54;4.00
0.05;40.92;2.00;39.00;5.00;2.00;9.53;2.00
0.26;216.59;3.00;22.00;26.00;0.00;1.02;3.00
0.25;1760.98;5.00;2.00;33.00;8.00;0.01;0.00
0.14;70.92;2.00;9.00;7.00;7.00;1.27;2.00
0.12;1736.98;5.00;26.00;7.00;8.00;0.15;0.00
0.14;1.00;1.00;33.00;29.00;0.00;330.00;1.00
0.13;630.15;4.00;39.00;34.00;1.00;0.62;4.00
0.14;234.59;3.00;4.00;9.00;6.00;0.17;3.00
0.10;1721.98;5.00;41.00;3.00;8.00;0.24;0.00
0.13;1722.98;5.00;40.00;44.00;4.00;0.23;0.00
0.14;1754.98;5.00;8.00;44.00;8.00;0.05;0.00
0.08;1.00;1.00;32.00;46.00;1.00;320.00;1.00
0.30;1757.98;5.00;5.00;4.00;5.00;0.03;0.00
0.26;46.92;2.00;33.00;43.00;4.00;7.03;2.00
0.14;669.15;4.00;0.00;13.00;7.00;0.00;4.00
0.35;220.59;3.00;18.00;29.00;6.00;0.82;3.00
0.14;1712.98;5.00;50.00;37.00;7.00;0.29;0.00
0.15;35.92;2.00;44.00;26.00;4.00;12.25;2.00
0.14;211.59;3.00;27.00;4.00;8.00;1.28;3.00
0.31;189.59;3.00;49.00;2.00;1.00;2.58;3.00
0.05;1719.98;5.00;43.00;39.00;1.00;0.25;0.00
3.20;47.92;2.00;32.00;44.00;7.00;6.68;2.00
0.08;663.15;4.00;6.00;3.00;10.00;0.09;4.00
0.26;647.15;4.00;22.00;1.00;6.00;0.34;4.00
0.08;1740.98;5.00;22.00;35.00;3.00;0.13;0.00
0.05;630.15;4.00;39.00;5.00;6.00;0.62;4.00
0.05;1762.98;5.00;0.00;25.00;0.00;0.00;0.00
0.13;223.59;3.00;15.00;22.00;5.00;0.67;3.00
0.28;663.15;4.00;6.00;45.00;1.00;0.09;4.00
0.26;1.00;1.00;40.00;20.00;8.00;400.00;1.00
0.10;1.00;1.00;43.00;47.00;9.00;430.00;1.00
0.10;646.15;4.00;23.00;20.00;1.00;0.36;4.00
0.38;207.59;3.00;31.00;49.00;6.00;1.49;3.00
0.49;53.92;2.00;26.00;13.00;10.00;4.82;2.00
0.05;39.92;2.00;40.00;11.00;9.00;10.02;2.00
0.34;655.15;4.00;14.00;15.00;0.00;0.21;4.00
0.05;1722.98;5.00;40.00;50.00;7.00;0.23;0.00
0.05;1714.98;5.00;48.00;28.00;6.00;0.28;0.00
0.47;54.92;2.00;25.00;10.00;5.00;4.55;2.00
0.08;643.15;4.00;26.00;23.00;7.00;0.40;4.00
0.08;209.59;3.00;29.00;4.00;6.00;1.38;3.00
0.23;202.59;3.00;36.00;48.00;3.00;1.78;3.00
0.05;640.15;4.00;29.00;18.00;6.00;0.45;4.00
0.43;1733.98;5.00;29.00;9.00;10.00;0.17;0.00
0.05;63.92;2.00;16.00;32.00;2.00;2.50;2.00
0.87;1722.98;5.00;40.00;45.00;7.00;0.23;0.00
0.09;1755.98;5.00;7.00;22.00;8.00;0.04;0.00
0.14;19.15;1.00;6.00;13.00;8.00;3.13;1.00
0.09;666.15;4.00;3.00;27.00;7.00;0.05;4.00
0.14;1747.98;5.00;15.00;8.00;7.00;0.09;0.00
0.13;622.15;4.00;47.00;48.00;4.00;0.76;4.00
0.11;30.92;2.00;49.00;1.00;9.00;15.85;2.00
0.29;634.15;4.00;35.00;4.00;5.00;0.55;4.00
0.47;23.15;1.00;2.00;43.00;0.00;0.86;1.00
0.05;205.59;3.00;33.00;16.00;2.00;1.61;3.00
0.59;221.59;3.00;17.00;31.00;9.00;0.77;3.00
0.15;1715.98;5.00;47.00;2.00;1.00;0.27;0.00
0.14;656.15;4.00;13.00;14.00;8.00;0.20;4.00
0.05;219.59;3.00;19.00;20.00;1.00;0.87;3.00
0.11;1736.98;5.00;26.00;50.00;9.00;0.15;0.00
0.05;61.92;2.00;18.00;50.00;6.00;2.91;2.00
0.15;1.00;1.00;48.00;27.00;8.00;480.00;1.00
0.25;64.92;2.00;15.00;43.00;1.00;2.31;2.00
0.05;645.15;4.00;24.00;31.00;0.00;0.37;4.00
0.05;1.00;1.00;44.00;12.00;9.00;440.00;1.00
0.11;229.59;3.00;9.00;45.00;7.00;0.39;3.00
0.30;4.15;1.00;21.00;41.00;5.00;50.63;1.00
0.08;1.00;1.00;40.00;47.00;1.00;400.00;1.00
0.05;1746.98;5.00;16.00;1.00;7.00;0.09;0.00
0.08;1738.98;5.00;24.00;46.00;8.00;0.14;0.00
0.13;206.59;3.00;32.00;42.00;0.00;1.55;3.00
0.08;235.59;3.00;3.00;21.00;1.00;0.13;3.00
0.55;6.15;1.00;19.00;40.00;4.00;30.91;1.00
0.08;232.59;3.00;6.00;44.00;2.00;0.26;3.00
0.05;228.59;3.00;10.00;8.00;6.00;0.44;3.00
0.14;1738.98;5.00;24.00;17.00;6.00;0.14;0.00
0.15;656.15;4.00;13.00;20.00;3.00;0.20;4.00
0.05;1715.98;5.00;47.00;37.00;2.00;0.27;0.00
0.10;48.92;2.00;31.00;28.00;2.00;6.34;2.00
0.37;1748.98;5.00;14.00;14.00;6.00;0.08;0.00
0.05;63.92;2.00;16.00;39.00;7.00;2.50;2.00
0.14;1714.98;5.00;48.00;19.00;9.00;0.28;0.00
0.10;216.59;3.00;22.00;38.00;4.00;1.02;3.00
0.14;1759.98;5.00;3.00;5.00;10.00;0.02;0.00
0.05;1728.98;5.00;34.00;42.00;4.00;0.20;0.00
0.05;14.15;1.00;11.00;11.00;8.00;7.78;1.00
0.12;1735.98;5.00;27.00;42.00;0.00;0.16;0.00
0.08;1754.98;5.00;8.00;3.00;3.00;0.05;0.00
0.05;1740.98;5.00;22.00;22.00;3.00;0.13;0.00
0.14;1.00;1.00;38.00;20.00;3.00;380.00;1.00
0.42;1718.98;5.00;44.00;50.00;0.00;0.26;0.00
0.05;198.59;3.00;40.00;17.00;1.00;2.01;3.00
0.14;72.92;2.00;7.00;33.00;8.00;0.96;2.00
0.13;79.92;2.00;0.00;43.00;6.00;0.00;2.00
1.12;1.00;1.00;50.00;29.00;5.00;500.00;1.00
0.14;235.59;3.00;3.00;17.00;0.00;0.13;3.00
0.15;227.59;3.00;11.00;26.00;8.00;0.48;3.00
0.05;669.15;4.00;0.00;29.00;1.00;0.00;4.00
0.14;7.15;1.00;18.00;15.00;4.00;25.18;1.00
0.14;1737.98;5.00;25.00;6.00;1.00;0.14;0.00
0.14;23.15;1.00;2.00;36.00;4.00;0.86;1.00
0.47;649.15;4.00;20.00;32.00;8.00;0.31;4.00
0.12;6.15;1.00;19.00;42.00;8.00;30.91;1.00
0.52;635.15;4.00;34.00;25.00;6.00;0.54;4.00
0.08;1735.98;5.00;27.00;29.00;1.00;0.16;0.00
0.14;1728.98;5.00;34.00;25.00;5.00;0.20;0.00
0.47;36.92;2.00;43.00;44.00;10.00;11.65;2.00
0.49;1.00;1.00;36.00;32.00;2.00;360.00;1.00
0.26;1.00;1.00;48.00;5.00;2.00;480.00;1.00
0.47;64.92;2.00;15.00;45.00;3.00;2.31;2.00
0.65;33.92;2.00;46.00;3.00;4.00;13.56;2.00
0.11;667.15;4.00;2.00;7.00;0.00;0.03;4.00
0.08;660.15;4.00;9.00;18.00;3.00;0.14;4.00
0.31;37.92;2.00;42.00;25.00;9.00;11.08;2.00
0.15;75.92;2.00;4.00;4.00;7.00;0.53;2.00
0.15;1738.98;5.00;24.00;20.00;4.00;0.14;0.00
0.23;627.15;4.00;42.00;40.00;10.00;0.67;4.00
0.23;1736.98;5.00;26.00;47.00;6.00;0.15;0.00
0.08;21.15;1.00;4.00;5.00;9.00;1.89;1.00
0.08;1730.98;5.00;32.00;39.00;5.00;0.18;0.00
0.05;1743.98;5.00;19.00;23.00;8.00;0.11;0.00
0.08;32.92;2.00;47.00;47.00;6.00;14.28;2.00
0.05;5.15;1.00;20.00;9.00;10.00;38.85;1.00
0.59;1714.98;5.00;48.00;39.00;10.00;0.28;0.00
0.05;15.15;1.00;10.00;0.00;3.00;6.60;1.00
0.08;1713.98;5.00;49.00;12.00;2.00;0.29;0.00
0.25;1.00;1.00;39.00;10.00;10.00;390.00;1.00
0.08;1.00;1.00;42.00;14.00;5.00;420.00;1.00
0.39;1747.98;5.00;15.00;50.00;7.00;0.09;0.00
0.28;230.59;3.00;8.00;39.00;1.00;0.35;3.00
0.11;194.59;3.00;44.00;50.00;0.00;2.26;3.00
0.05;642.15;4.00;27.00;32.00;4.00;0.42;4.00
0.08;1733.98;5.00;29.00;2.00;6.00;0.17;0.00
0.55;1.00;1.00;50.00;4.00;7.00;500.00;1.00
0.05;1712.98;5.00;50.00;15.00;5.00;0.29;0.00
0.10;667.15;4.00;2.00;40.00;7.00;0.03;4.00
0.05;1.00;1.00;39.00;44.00;9.00;390.00;1.00
0.42;22.15;1.00;3.00;47.00;1.00;1.35;1.00
0.13;50.92;2.00;29.00;1.00;5.00;5.70;2.00
0.14;666.15;4.00;3.00;5.00;10.00;0.05;4.00
0.14;1.00;1.00;45.00;46.00;6.00;450.00;1.00
0.05;658.15;4.00;11.00;4.00;7.00;0.17;4.00
0.41;197.59;3.00;41.00;4.00;10.00;2.07;3.00
0.05;34.92;2.00;45.00;46.00;5.00;12.89;2.00
0.11;1.00;1.00;34.00;8.00;10.00;340.00;1.00
0.43;71.92;2.00;8.00;13.00;6.00;1.11;2.00
0.23;630.15;4.00;39.00;49.00;0.00;0.62;4.00
0.24;1.00;1.00;44.00;9.00;2.00;440.00;1.00
0.13;228.59;3.00;10.00;7.00;4.00;0.44;3.00
0.08;1.00;1.00;32.00;28.00;8.00;320.00;1.00
0.14;1728.98;5.00;34.00;19.00;3.00;0.20;0.00
0.08;640.15;4.00;29.00;27.00;9.00;0.45;4.00
0.33;65.92;2.00;14.00;13.00;4.00;2.12;2.00
0.05;1758.98;5.00;4.00;36.00;2.00;0.02;0.00
0.23;1.00;1.00;33.00;31.00;8.00;330.00;1.00
0.05;40.92;2.00;39.00;3.00;2.00;9.53;2.00
0.28;1715.98;5.00;47.00;41.00;9.00;0.27;0.00
0.05;66.92;2.00;13.00;16.00;10.00;1.94;2.00
0.23;22.15;1.00;3.00;28.00;7.00;1.35;1.00
0.05;622.15;4.00;47.00;27.00;9.00;0.76;4.00
0.08;21.15;1.00;4.00;21.00;6.00;1.89;1.00
0.14;1.00;1.00;29.00;46.00;2.00;290.00;1.00
0.08;667.15;4.00;2.00;32.00;7.00;0.03;4.00
0.14;1.00;1.00;30.00;42.00;4.00;300.00;1.00
0.31;215.59;3.00;23.00;44.00;0.00;1.07;3.00
0.08;646.15;4.00;23.00;46.00;1.00;0.36;4.00
0.10;219.59;3.00;19.00;36.00;0.00;0.87;3.00
0.29;21.15;1.00;4.00;38.00;5.00;1.89;1.00
0.05;667.15;4.00;2.00;6.00;0.00;0.03;4.00
0.19;1.15;1.00;24.00;12.00;2.00;209.14;1.00
0.14;233.59;3.00;5.00;17.00;6.00;0.21;3.00
0.05;192.59;3.00;46.00;24.00;7.00;2.39;3.00
0.31;59.92;2.00;20.00;30.00;3.00;3.34;2.00
0.24;8.15;1.00;17.00;32.00;7.00;20.87;1.00
0.49;71.92;2.00;8.00;42.00;2.00;1.11;2.00
0.47;5.15;1.00;20.00;17.00;2.00;38.85;1.00
0.25;74.92;2.00;5.00;17.00;0.00;0.67;2.00
0.24;1733.98;5.00;29.00;19.00;8.00;0.17;0.00
0.05;1.00;1.00;45.00;9.00;2.00;450.00;1.00
0.14;22.15;1.00;3.00;21.00;10.00;1.35;1.00
0.08;18.15;1.00;7.00;43.00;6.00;3.86;1.00
0.05;1.00;1.00;38.00;9.00;2.00;380.00;1.00
0.05;196.59;3.00;42.00;44.00;5.00;2.14;3.00
0.08;646.15;4.00;23.00;26.00;0.00;0.36;4.00
0.08;1746.98;5.00;16.00;49.00;1.00;0.09;0.00
0.25;1760.98;5.00;2.00;41.00;7.00;0.01;0.00
0.11;632.15;4.00;37.00;23.00;0.00;0.59;4.00
0.43;204.59;3.00;34.00;31.00;3.00;1.66;3.00
0.29;1740.98;5.00;22.00;19.00;7.00;0.13;0.00
0.87;1720.98;5.00;42.00;1.00;3.00;0.24;0.00
0.23;39.92;2.00;40.00;32.00;9.00;10.02;2.00
0.34;0.15;1.00;25.00;13.00;6.00;1694.50;1.00
0.05;620.15;4.00;49.00;31.00;1.00;0.79;4.00
0.05;1731.98;5.00;31.00;48.00;2.00;0.18;0.00
0.39;665.15;4.00;4.00;42.00;1.00;0.06;4.00
0.05;4.15;1.00;21.00;3.00;8.00;50.63;1.00
0.11;1756.98;5.00;6.00;43.00;10.00;0.03;0.00
0.05;1712.98;5.00;50.00;22.00;3.00;0.29;0.00
0.28;1761.98;5.00;1.00;32.00;9.00;0.01;0.00
0.34;1.00;1.00;43.00;38.00;5.00;430.00;1.00
0.35;6.15;1.00;19.00;28.00;2.00;30.91;1.00
0.08;71.92;2.00;8.00;7.00;1.00;1.11;2.00
0.05;78.92;2.00;1.00;36.00;0.00;0.13;2.00
0.05;1722.98;5.00;40.00;12.00;6.00;0.23;0.00
0.10;232.59;3.00;6.00;42.00;1.00;0.26;3.00
0.14;198.59;3.00;40.00;34.00;3.00;2.01;3.00
0.05;1725.98;5.00;37.00;21.00;8.00;0.21;0.00
0.27;1740.98;5.00;22.00;35.00;0.00;0.13;0.00
0.09;645.15;4.00;24.00;50.00;0.00;0.37;4.00
1.12;627.15;4.00;42.00;39.00;0.00;0.67;4.00
0.05;238.59;3.00;0.00;35.00;8.00;0.00;3.00
0.08;23.15;1.00;2.00;4.00;6.00;0.86;1.00
0.47;1751.98;5.00;11.00;2.00;9.00;0.06;0.00
0.05;74.92;2.00;5.00;33.00;9.00;0.67;2.00
0.05;651.15;4.00;18.00;9.00;9.00;0.28;4.00
0.13;1.00;1.00;45.00;49.00;0.00;450.00;1.00
0.25;1730.98;5.00;32.00;46.00;8.00;0.18;0.00
0.14;236.59;3.00;2.00;42.00;0.00;0.08;3.00
0.29;668.15;4.00;1.00;26.00;7.00;0.01;4.00
0.05;9.15;1.00;16.00;11.00;8.00;17.49;1.00
0.15;212.59;3.00;26.00;41.00;0.00;1.22;3.00
0.05;195.59;3.00;43.00;1.00;2.00;2.20;3.00
0.28;665.15;4.00;4.00;8.00;8.00;0.06;4.00
0.30;4.15;1.00;21.00;17.00;8.00;50.63;1.00
0.08;188.59;3.00;50.00;33.00;0.00;2.65;3.00
0.08;665.15;4.00;4.00;36.00;5.00;0.06;4.00
0.14;37.92;2.00;42.00;3.00;2.00;11.08;2.00
0.14;79.92;2.00;0.00;19.00;2.00;0.00;2.00
0.08;221.59;3.00;17.00;40.00;1.00;0.77;3.00
0.08;2.15;1.00;23.00;48.00;6.00;107.10;1.00
0.11;1719.98;5.00;43.00;4.00;4.00;0.25;0.00
0.05;223.59;3.00;15.00;40.00;9.00;0.67;3.00
0.13;1.00;1.00;28.00;39.00;4.00;280.00;1.00
0.34;56.92;2.00;23.00;7.00;9.00;4.04;2.00
0.14;1736.98;5.00;26.00;11.00;5.00;0.15;0.00
0.14;216.59;3.00;22.00;45.00;1.00;1.02;3.00
0.05;56.92;2.00;23.00;14.00;5.00;4.04;2.00
0.14;39.92;2.00;40.00;40.00;9.00;10.02;2.00
0.08;34.92;2.00;45.00;42.00;2.00;12.89;2.00
0.08;16.15;1.00;9.00;39.00;2.00;5.57;1.00
0.59;65.92;2.00;14.00;4.00;5.00;2.12;2.00
0.05;19.15;1.00;6.00;20.00;6.00;3.13;1.00
0.08;667.15;4.00;2.00;11.00;1.00;0.03;4.00
0.13;637.15;4.00;32.00;1.00;9.00;0.50;4.00
0.42;668.15;4.00;1.00;0.00;3.00;0.01;4.00
0.08;1734.98;5.00;28.00;44.00;8.00;0.16;0.00
0.09;44.92;2.00;35.00;36.00;3.00;7.79;2.00
0.14;15.15;1.00;10.00;35.00;5.00;6.60;1.00
0.28;10.15;1.00;15.00;2.00;9.00;14.78;1.00
0.41;45.92;2.00;34.00;25.00;3.00;7.40;2.00
0.05;1.00;1.00;32.00;12.00;4.00;320.00;1.00
1.12;1724.98;5.00;38.00;39.00;8.00;0.22;0.00
1.30;1.00;1.00;49.00;37.00;10.00;490.00;1.00
0.08;1747.98;5.00;15.00;22.00;5.00;0.09;0.00
0.36;17.15;1.00;8.00;23.00;9.00;4.67;1.00
0.14;661.15;4.00;8.00;34.00;0.00;0.12;4.00
0.08;43.92;2.00;36.00;1.00;0.00;8.20;2.00
0.08;227.59;3.00;11.00;49.00;5.00;0.48;3.00
0.13;646.15;4.00;23.00;27.00;9.00;0.36;4.00
0.05;632.15;4.00;37.00;49.00;2.00;0.59;4.00
0.11;629.15;4.00;40.00;38.00;3.00;0.64;4.00
0.14;24.15;1.00;1.00;0.00;5.00;0.41;1.00
0.05;39.92;2.00;40.00;42.00;0.00;10.02;2.00
0.13;72.92;2.00;7.00;18.00;5.00;0.96;2.00
0.10;665.15;4.00;4.00;8.00;3.00;0.06;4.00
0.05;36.92;2.00;43.00;6.00;3.00;11.65;2.00
0.23;201.59;3.00;37.00;38.00;2.00;1.84;3.00
0.14;20.15;1.00;5.00;8.00;3.00;2.48;1.00
0.14;1.00;1.00;50.00;18.00;7.00;500.00;1.00
0.10;17.15;1.00;8.00;1.00;1.00;4.67;1.00
0.08;1716.98;5.00;46.00;26.00;3.00;0.27;0.00
0.14;56.92;2.00;23.00;45.00;6.00;4.04;2.00
0.08;70.92;2.00;9.00;26.00;3.00;1.27;2.00
0.11;650.15;4.00;19.00;24.00;1.00;0.29;4.00
0.05;237.59;3.00;1.00;28.00;3.00;0.04;3.00
0.14;1717.98;5.00;45.00;12.00;8.00;0.26;0.00
0.65;70.92;2.00;9.00;18.00;4.00;1.27;2.00
0.35;233.59;3.00;5.00;20.00;1.00;0.21;3.00
0.32;624.15;4.00;45.00;6.00;6.00;0.72;4.00
0.14;648.15;4.00;21.00;23.00;7.00;0.32;4.00
0.29;227.59;3.00;11.00;22.00;3.00;0.48;3.00
0.73;1751.98;5.00;11.00;14.00;10.00;0.06;0.00
0.11;70.92;2.00;9.00;29.00;3.00;1.27;2.00
3.20;1743.98;5.00;19.00;26.00;7.00;0.11;0.00
0.11;1728.98;5.00;34.00;7.00;7.00;0.20;0.00
0.05;59.92;2.00;20.00;28.00;8.00;3.34;2.00
0.65;633.15;4.00;36.00;43.00;9.00;0.57;4.00
0.19;25.15;1.00;0.00;47.00;4.00;0.00;1.00
0.15;1.00;1.00;46.00;0.00;4.00;460.00;1.00
0.13;1740.98;5.00;22.00;36.00;5.00;0.13;0.00
0.15;1.00;1.00;37.00;37.00;7.00;370.00;1.00
0.15;1718.98;5.00;44.00;20.00;7.00;0.26;0.00
0.33;664.15;4.00;5.00;8.00;1.00;0.08;4.00
0.65;192.59;3.00;46.00;50.00;3.00;2.39;3.00
0.05;623.15;4.00;46.00;31.00;4.00;0.74;4.00
0.14;79.92;2.00;0.00;19.00;4.00;0.00;2.00
0.35;57.92;2.00;22.00;17.00;5.00;3.80;2.00
0.34;1.00;1.00;43.00;2.00;6.00;430.00;1.00
0.40;627.15;4.00;42.00;34.00;8.00;0.67;4.00
0.05;39.92;2.00;40.00;14.00;10.00;10.02;2.00
0.43;18.15;1.00;7.00;45.00;6.00;3.86;1.00
0.08;656.15;4.00;13.00;14.00;3.00;0.20;4.00
0.47;6.15;1.00;19.00;0.00;8.00;30.91;1.00
0.29;620.15;4.00;49.00;41.00;2.00;0.79;4.00
0.65;1.00;1.00;47.00;23.00;2.00;470.00;1.00
0.15;657.15;4.00;12.00;17.00;2.00;0.18;4.00
0.05;1.00;1.00;29.00;39.00;4.00;290.00;1.00
0.10;1.00;1.00;45.00;10.00;0.00;450.00;1.00
0.08;228.59;3.00;10.00;2.00;6.00;0.44;3.00
0.37;51.92;2.00;28.00;10.00;10.00;5.39;2.00
0.36;24.15;1.00;1.00;36.00;8.00;0.41;1.00
0.08;195.59;3.00;43.00;46.00;1.00;2.20;3.00
0.08;221.59;3.00;17.00;43.00;4.00;0.77;3.00
0.05;1.00;1.00;37.00;1.00;3.00;370.00;1.00
0.08;44.92;2.00;35.00;17.00;4.00;7.79;2.00
0.14;637.15;4.00;32.00;37.00;0.00;0.50;4.00
0.14;192.59;3.00;46.00;24.00;8.00;2.39;3.00
0.23;71.92;2.00;8.00;6.00;7.00;1.11;2.00
0.05;1724.98;5.00;38.00;20.00;4.00;0.22;0.00
0.15;1721.98;5.00;41.00;8.00;1.00;0.24;0.00
0.05;666.15;4.00;3.00;34.00;7.00;0.05;4.00
0.24;635.15;4.00;34.00;7.00;5.00;0.54;4.00
0.08;197.59;3.00;41.00;9.00;6.00;2.07;3.00
0.08;1720.98;5.00;42.00;9.00;5.00;0.24;0.00
0.05;71.92;2.00;8.00;49.00;5.00;1.11;2.00
0.11;63.92;2.00;16.00;42.00;0.00;2.50;2.00
0.13;79.92;2.00;0.00;11.00;8.00;0.00;2.00
0.14;17.15;1.00;8.00;25.00;0.00;4.67;1.00
0.14;656.15;4.00;13.00;30.00;10.00;0.20;4.00
0.33;1718.98;5.00;44.00;47.00;10.00;0.26;0.00
0.14;7.15;1.00;18.00;32.00;6.00;25.18;1.00
0.85;69.92;2.00;10.00;1.00;5.00;1.43;2.00
0.13;67.92;2.00;12.00;19.00;2.00;1.77;2.00
0.24;53.92;2.00;26.00;12.00;1.00;4.82;2.00
0.27;18.15;1.00;7.00;25.00;3.00;3.86;1.00
0.10;74.92;2.00;5.00;12.00;5.00;0.67;2.00
0.13;1755.98;5.00;7.00;17.00;2.00;0.04;0.00
0.08;1729.98;5.00;33.00;50.00;0.00;0.19;0.00
0.14;1726.98;5.00;36.00;9.00;7.00;0.21;0.00
0.15;1718.98;5.00;44.00;42.00;3.00;0.26;0.00
0.08;646.15;4.00;23.00;16.00;2.00;0.36;4.00
0.08;1743.98;5.00;19.00;9.00;1.00;0.11;0.00
0.30;61.92;2.00;18.00;19.00;4.00;2.91;2.00
0.59;34.92;2.00;45.00;45.00;4.00;12.89;2.00
0.14;199.59;3.00;39.00;13.00;9.00;1.95;3.00
0.12;65.92;2.00;14.00;38.00;7.00;2.12;2.00
0.12;44.92;2.00;35.00;27.00;7.00;7.79;2.00
0.08;1.00;1.00;45.00;40.00;9.00;450.00;1.00
0.12;1721.98;5.00;41.00;11.00;7.00;0.24;0.00
0.27;231.59;3.00;7.00;42.00;0.00;0.30;3.00
0.05;1740.98;5.00;22.00;30.00;0.00;0.13;0.00
0.05;213.59;3.00;25.00;4.00;8.00;1.17;3.00
0.10;1750.98;5.00;12.00;15.00;0.00;0.07;0.00
0.08;1.00;1.00;27.00;33.00;4.00;270.00;1.00
0.14;64.92;2.00;15.00;31.00;6.00;2.31;2.00
0.15;1757.98;5.00;5.00;41.00;2.00;0.03;0.00
0.05;638.15;4.00;31.00;8.00;5.00;0.49;4.00
0.08;1729.98;5.00;33.00;16.00;4.00;0.19;0.00
0.14;47.92;2.00;32.00;12.00;4.00;6.68;2.00
0.51;1.00;1.00;39.00;33.00;7.00;390.00;1.00
0.05;654.15;4.00;15.00;39.00;2.00;0.23;4.00
0.24;1734.98;5.00;28.00;14.00;5.00;0.16;0.00
0.14;193.59;3.00;45.00;6.00;1.00;2.32;3.00
0.11;1721.98;5.00;41.00;6.00;8.00;0.24;0.00
0.14;22.15;1.00;3.00;43.00;0.00;1.35;1.00
0.87;69.92;2.00;10.00;22.00;8.00;1.43;2.00
0.13;199.59;3.00;39.00;43.00;7.00;1.95;3.00
0.14;1714.98;5.00;48.00;47.00;7.00;0.28;0.00
0.24;1732.98;5.00;30.00;41.00;7.00;0.17;0.00
0.35;9.15;1.00;16.00;38.00;7.00;17.49;1.00
0.43;237.59;3.00;1.00;38.00;2.00;0.04;3.00
0.13;42.92;2.00;37.00;10.00;4.00;8.62;2.00
0.24;19.15;1.00;6.00;14.00;5.00;3.13;1.00
0.08;661.15;4.00;8.00;17.00;2.00;0.12;4.00
0.29;653.15;4.00;16.00;19.00;1.00;0.24;4.00
0.32;624.15;4.00;45.00;14.00;0.00;0.72;4.00
0.05;1723.98;5.00;39.00;2.00;7.00;0.23;0.00
0.15;657.15;4.00;12.00;3.00;9.00;0.18;4.00
0.13;1712.98;5.00;50.00;27.00;3.00;0.29;0.00
0.14;36.92;2.00;43.00;37.00;5.00;11.65;2.00
0.08;75.92;2.00;4.00;10.00;7.00;0.53;2.00
0.12;197.59;3.00;41.00;41.00;7.00;2.07;3.00
0.09;70.92;2.00;9.00;46.00;9.00;1.27;2.00
0.11;42.92;2.00;37.00;30.00;4.00;8.62;2.00
0.36;69.92;2.00;10.00;20.00;0.00;1.43;2.00
0.27;0.15;1.00;25.00;29.00;6.00;1694.50;1.00
0.08;625.15;4.00;44.00;13.00;2.00;0.70;4.00
0.08;195.59;3.00;43.00;0.00;2.00;2.20;3.00
0.27;199.59;3.00;39.00;15.00;2.00;1.95;3.00
0.13;623.15;4.00;46.00;39.00;9.00;0.74;4.00
0.05;1717.98;5.00;45.00;23.00;4.00;0.26;0.00
0.08;661.15;4.00;8.00;27.00;6.00;0.12;4.00
0.30;218.59;3.00;20.00;12.00;1.00;0.91;3.00
0.13;1.00;1.00;38.00;11.00;3.00;380.00;1.00
0.05;1.00;1.00;44.00;30.00;6.00;440.00;1.00
0.10;235.59;3.00;3.00;8.00;3.00;0.13;3.00
0.08;70.92;2.00;9.00;33.00;8.00;1.27;2.00
0.05;218.59;3.00;20.00;23.00;4.00;0.91;3.00
0.05;190.59;3.00;48.00;16.00;5.00;2.52;3.00
0.34;207.59;3.00;31.00;23.00;0.00;1.49;3.00
0.14;1740.98;5.00;22.00;15.00;6.00;0.13;0.00
0.13;1.00;1.00;44.00;36.00;6.00;440.00;1.00
0.08;189.59;3.00;49.00;45.00;6.00;2.58;3.00
0.14;2.15;1.00;23.00;25.00;5.00;107.10;1.00
0.47;623.15;4.00;46.00;36.00;4.00;0.74;4.00
0.27;1740.98;5.00;22.00;2.00;8.00;0.13;0.00
0.08;189.59;3.00;49.00;21.00;6.00;2.58;3.00
0.08;17.15;1.00;8.00;46.00;0.00;4.67;1.00
0.55;641.15;4.00;28.00;14.00;3.00;0.44;4.00
0.05;1729.98;5.00;33.00;0.00;3.00;0.19;0.00
0.08;10.15;1.00;15.00;15.00;5.00;14.78;1.00
0.08;10.15;1.00;15.00;24.00;5.00;14.78;1.00
0.05;647.15;4.00;22.00;41.00;0.00;0.34;4.00
0.15;211.59;3.00;27.00;9.00;9.00;1.28;3.00
